City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Port Blair,IN,82.69,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
1,Chuy,UY,58.3,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
2,Tuktoyaktuk,CA,59.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
3,Tooele,US,88.45,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
4,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
6,Port Alfred,ZA,50.11,scattered clouds,-33.5906,26.891,The Halyards Hotel
8,Albany,US,62.92,clear sky,42.6001,-73.9662,
9,Bethel,US,69.58,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
10,Half Moon Bay,US,78.75,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
11,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
12,Zhaotong,CN,70.11,overcast clouds,27.3167,103.7167,Jingguan Home
13,Atuona,PF,77.43,scattered clouds,-9.8,-139.0333,Villa Enata
14,Medicine Hat,CA,81.03,smoke,50.0501,-110.6683,Sun Dek Motel
15,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
16,Victoria,HK,92.97,clear sky,22.2855,114.1577,Mini Hotel Central
17,Constitucion,CL,51.71,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
19,Nikolskoye,RU,56.79,overcast clouds,59.7035,30.7861,Tourist House - Sablino
20,Butaritari,KI,83.59,light rain,3.0707,172.7902,Isles Sunset Lodge
21,Bambous Virieux,MU,68.22,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
22,Vieques,PR,82.9,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
23,Pundaguitan,PH,84.94,few clouds,6.3711,126.1689,Leonardo Family Beach House 1
24,Castro,BR,50.13,clear sky,-24.7911,-50.0119,CHACARA BAILLY
25,Lakes Entrance,AU,61.18,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
26,Santa Barbara,US,73.35,clear sky,34.7333,-120.0343,Upper Ballard Campground
27,Riyadh,SA,86.14,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
29,Murupara,NZ,57.56,scattered clouds,-38.4667,176.7,Murupara Motor Camp
