City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Port Blair,IN,11.6667,92.75,82.69,82,100,21.09,overcast clouds
1,Chuy,UY,-33.6971,-53.4616,58.3,91,9,4.97,light rain
2,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,47,75,14.97,broken clouds
3,Tooele,US,40.5308,-112.2983,88.45,47,1,0.0,clear sky
4,Vaini,TO,-21.2,-175.2,82.56,83,20,6.91,few clouds
5,Lebu,CL,-37.6167,-73.65,48.78,82,100,8.55,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,50.11,68,41,6.33,scattered clouds
7,Ushuaia,AR,-54.8,-68.3,37.06,75,90,9.22,overcast clouds
8,Albany,US,42.6001,-73.9662,62.92,88,0,3.69,clear sky
9,Bethel,US,41.3712,-73.414,69.58,85,25,3.76,scattered clouds
10,Half Moon Bay,US,37.4636,-122.4286,78.75,78,20,16.11,few clouds
11,Hirara,JP,24.8,125.2833,84.47,94,75,41.43,broken clouds
12,Zhaotong,CN,27.3167,103.7167,70.11,79,96,2.91,overcast clouds
13,Atuona,PF,-9.8,-139.0333,77.43,77,41,10.78,scattered clouds
14,Medicine Hat,CA,50.0501,-110.6683,81.03,22,20,1.01,smoke
15,Saint-Philippe,RE,-21.3585,55.7679,65.79,71,35,5.48,scattered clouds
16,Victoria,HK,22.2855,114.1577,92.97,80,4,1.01,clear sky
17,Constitucion,CL,-35.3333,-72.4167,51.71,83,91,5.28,overcast clouds
18,Bredasdorp,ZA,-34.5322,20.0403,46.27,87,0,4.61,clear sky
19,Nikolskoye,RU,59.7035,30.7861,56.79,71,94,3.47,overcast clouds
20,Butaritari,KI,3.0707,172.7902,83.59,76,11,17.18,light rain
21,Bambous Virieux,MU,-20.3428,57.7575,68.22,94,75,5.75,light intensity shower rain
22,Vieques,PR,18.425,-65.8329,82.9,83,40,8.05,scattered clouds
23,Pundaguitan,PH,6.3711,126.1689,84.94,72,18,15.19,few clouds
24,Castro,BR,-24.7911,-50.0119,50.13,80,0,3.09,clear sky
25,Lakes Entrance,AU,-37.8811,147.981,61.18,47,8,11.34,clear sky
26,Santa Barbara,US,34.7333,-120.0343,73.35,62,1,5.75,clear sky
27,Riyadh,SA,24.6877,46.7219,86.14,22,31,3.83,scattered clouds
28,Ilulissat,GL,69.2167,-51.1,37.51,92,100,7.29,overcast clouds
29,Murupara,NZ,-38.4667,176.7,57.56,58,44,2.33,scattered clouds
30,Rabak,SD,13.1809,32.74,77.92,75,98,10.78,overcast clouds
31,Barrow,US,71.2906,-156.7887,36.86,87,100,9.84,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,70.21,56,8,9.4,clear sky
33,Port Elizabeth,ZA,-33.918,25.5701,41.29,87,0,0.0,clear sky
34,Arraial Do Cabo,BR,-22.9661,-42.0278,68.76,71,0,19.53,clear sky
35,Hermanus,ZA,-34.4187,19.2345,47.89,62,0,9.98,clear sky
36,Ginda,IN,30.6945,78.4932,74.55,76,16,2.51,few clouds
37,Kapaa,US,22.0752,-159.319,82.38,83,77,1.01,moderate rain
38,Key West,US,24.5557,-81.7826,86.0,76,40,5.75,scattered clouds
39,Sisimiut,GL,66.9395,-53.6735,40.55,96,100,8.52,heavy intensity rain
40,Caravelas,BR,-17.7125,-39.2481,69.66,73,47,7.16,scattered clouds
41,Sierra Vista,US,31.5545,-110.3037,73.27,69,75,7.0,broken clouds
42,Verkhnevilyuysk,RU,63.4453,120.3167,73.54,53,94,5.21,overcast clouds
43,Amapa,BR,1.0,-52.0,69.84,96,29,1.88,scattered clouds
44,Muros,ES,42.7762,-9.0603,65.23,89,23,4.5,few clouds
45,Roebourne,AU,-20.7833,117.1333,79.25,31,2,18.28,clear sky
46,Hilo,US,19.7297,-155.09,78.53,86,90,11.5,light rain
47,Mindelo,CV,16.8901,-24.9804,74.75,64,40,13.8,scattered clouds
48,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,58.64,91,5,5.12,clear sky
49,Bluff,NZ,-46.6,168.3333,55.8,67,56,5.93,broken clouds
50,Lata,PT,40.1629,-8.3327,60.82,98,45,2.53,scattered clouds
51,Northam,GB,51.0333,-4.2167,63.3,93,100,18.23,light rain
52,Hithadhoo,MV,-0.6,73.0833,81.07,74,81,1.77,broken clouds
53,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,31.07,light rain
54,Kutum,SD,14.2,24.6667,72.12,75,100,13.2,overcast clouds
55,Suez,EG,29.9737,32.5263,72.39,75,0,4.09,clear sky
56,Ginir,ET,7.1333,40.7,56.64,83,94,8.21,overcast clouds
57,Mount Gambier,AU,-37.8333,140.7667,49.91,81,40,14.97,light rain
58,Yellowknife,CA,62.456,-114.3525,64.33,100,75,0.0,light intensity shower rain
59,Pierre,US,44.3683,-100.351,81.86,60,88,1.99,overcast clouds
60,Mitsamiouli,KM,-11.3847,43.2844,76.84,70,0,19.48,clear sky
61,San Vicente De Canete,PE,-13.0751,-76.3835,61.77,88,59,5.66,broken clouds
62,Puerto Ayora,EC,-0.7393,-90.3518,71.55,86,60,5.01,broken clouds
63,Muncar,ID,-8.4333,114.3333,83.17,58,7,8.39,clear sky
64,San Rafael Del Sur,NI,11.8485,-86.4384,83.37,62,100,10.87,overcast clouds
65,Torbay,CA,47.6666,-52.7314,57.76,97,90,0.0,overcast clouds
66,Iqaluit,CA,63.7506,-68.5145,49.73,71,75,8.01,broken clouds
67,East London,ZA,-33.0153,27.9116,52.29,61,88,3.67,overcast clouds
68,Matay,EG,28.419,30.7792,76.37,56,0,6.29,clear sky
69,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,10.36,broken clouds
70,Westport,US,41.1415,-73.3579,73.85,81,43,1.99,scattered clouds
71,Busselton,AU,-33.65,115.3333,58.08,72,100,14.14,overcast clouds
72,Port Hardy,CA,50.6996,-127.4199,60.98,94,90,0.0,light rain
73,Ponta Do Sol,PT,32.6667,-17.1,72.01,77,1,6.24,clear sky
74,Sioux Lookout,CA,50.1001,-91.917,77.38,94,40,8.05,scattered clouds
75,Itatskiy,RU,56.07,89.0369,69.39,62,81,7.52,broken clouds
76,Deer Lake,CA,49.1667,-57.4316,49.86,100,90,9.22,mist
77,Hobart,AU,-42.8794,147.3294,55.26,62,75,3.0,broken clouds
78,Balakovo,RU,52.0278,47.8007,65.12,57,3,4.76,clear sky
