City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2021-07-17 03:50:42,-21.2,-175.2,78.96,89,40,8.05
1,Dikson,RU,2021-07-17 03:50:43,73.5069,80.5464,34.29,89,94,9.8
2,Avarua,CK,2021-07-17 03:50:43,-21.2078,-159.775,73.45,88,75,8.05
3,Karpathos,GR,2021-07-17 03:50:43,35.507,27.2132,76.95,81,0,8.57
4,Tasiilaq,GL,2021-07-17 03:50:44,65.6145,-37.6368,37.74,75,0,8.05
5,Punta Arenas,CL,2021-07-17 03:46:23,-53.15,-70.9167,33.91,93,20,11.5
6,Tripoli,LY,2021-07-17 03:50:40,32.8752,13.1875,76.35,67,0,6.93
7,Rikitea,PF,2021-07-17 03:50:44,-23.1203,-134.9692,72.73,68,1,7.16
8,Tigzirt,DZ,2021-07-17 03:50:44,36.8886,4.1198,71.1,56,0,7.25
9,Bredasdorp,ZA,2021-07-17 03:50:45,-34.5322,20.0403,43.92,81,1,6.91
10,Egvekinot,RU,2021-07-17 03:50:45,66.3167,-179.1667,41.99,98,100,6.31
11,Atuona,PF,2021-07-17 03:50:46,-9.8,-139.0333,77.58,71,5,20.11
12,Khatanga,RU,2021-07-17 03:50:46,71.9667,102.5,53.4,45,6,7.52
13,Pisco,PE,2021-07-17 03:50:46,-13.7,-76.2167,59.05,88,4,3.44
14,Souillac,MU,2021-07-17 03:50:47,-20.5167,57.5167,72.36,68,40,14.97
15,East London,ZA,2021-07-17 03:50:47,-33.0153,27.9116,50.94,32,0,3.44
16,Pedasi,PA,2021-07-17 03:50:47,7.5333,-80.0333,80.58,79,100,13.49
17,Malakal,SS,2021-07-17 03:50:48,9.5334,31.6605,72.5,87,99,2.71
18,Port Elizabeth,ZA,2021-07-17 03:50:48,-33.918,25.5701,50.29,40,0,2.3
19,Mehamn,NO,2021-07-17 03:50:48,71.0357,27.8492,52.7,76,96,22.64
20,Ushuaia,AR,2021-07-17 03:46:35,-54.8,-68.3,29.86,80,20,5.75
21,Qaqortoq,GL,2021-07-17 03:50:49,60.7167,-46.0333,47.48,72,100,3.74
22,Bluff,NZ,2021-07-17 03:50:49,-46.6,168.3333,48.79,91,97,3.49
23,Port Alfred,ZA,2021-07-17 03:50:49,-33.5906,26.891,56.62,30,0,11.23
24,Butaritari,KI,2021-07-17 03:50:49,3.0707,172.7902,83.91,76,100,21.12
25,Wanaka,NZ,2021-07-17 03:50:50,-44.7,169.15,43.11,99,97,1.01
26,Nome,US,2021-07-17 03:50:50,64.5011,-165.4064,50.07,87,90,12.66
27,Tiksi,RU,2021-07-17 03:50:51,71.6872,128.8694,41.81,71,42,20.13
28,Anaco,VE,2021-07-17 03:50:51,9.4389,-64.4728,74.68,82,97,10.78
29,Chuy,UY,2021-07-17 03:50:51,-33.6971,-53.4616,46.58,93,56,6.69
30,Lazaro Cardenas,MX,2021-07-17 03:50:51,17.9583,-102.2,78.84,89,86,6.62
31,Arsk,RU,2021-07-17 03:50:52,56.0915,49.8778,71.38,82,24,4.25
32,Pitimbu,BR,2021-07-17 03:50:52,-7.4706,-34.8086,73.99,89,8,8.66
33,Sitka,US,2021-07-17 03:46:59,57.0531,-135.33,58.89,82,90,5.75
34,Okha,RU,2021-07-17 03:50:53,53.5739,142.9478,74.16,68,11,14.23
35,Albany,US,2021-07-17 03:49:42,42.6001,-73.9662,72.81,81,100,4.21
36,Cape Town,ZA,2021-07-17 03:46:04,-33.9258,18.4232,55.11,93,40,2.3
37,Sao Jose Dos Pinhais,BR,2021-07-17 03:50:54,-25.5347,-49.2064,55.36,94,90,6.91
38,Mazatlan,MX,2021-07-17 03:50:54,23.2167,-106.4167,85.01,89,73,2.19
39,Komsomolskiy,UZ,2021-07-17 03:50:54,40.4272,71.7189,72.32,64,50,4.61
40,Mataura,NZ,2021-07-17 03:50:55,-46.1927,168.8643,48.47,91,54,0.45
41,Mitu,CO,2021-07-17 03:50:55,1.1983,-70.1733,71.38,99,96,2.17
42,Puerto Ayora,EC,2021-07-17 03:50:55,-0.7393,-90.3518,70.56,95,91,1.99
